,<built-in function id>,imageLink,origFormat,title
0,https://www.loc.gov/item/2003627090/,//tile.loc.gov/image-services/iiif/service:gmd:gmd401:g4014:g4014n:ra000004/full/pct:25/0/default.jpg#h=565&w=828,map,Plan of New Orleans.
1,https://www.loc.gov/item/2008627031/,//tile.loc.gov/image-services/iiif/service:gmd:gmd3m:g3200m:g3200m:gct00128a:ca000001t/full/pct:3.125/0/default.jpg#h=192&w=262,map,Civitates orbis terrarvm.
2,https://www.loc.gov/item/2003627002/,//tile.loc.gov/image-services/iiif/service:gmd:gmd401:g4014:g4014n:ct001039/full/pct:25/0/default.jpg#h=654&w=886,map,Plan de la Nouvelle Orleans.
3,https://www.loc.gov/item/2007626793/,//tile.loc.gov/image-services/iiif/service:gmd:gmd376m:g3764m:g3764fm:gla00011:ca000000cX/full/pct:12.5/0/default.jpg#h=387&w=609,map,"Atlas of the town of Framingham, Mass."
4,https://www.loc.gov/item/2008622020/,//tile.loc.gov/image-services/iiif/service:gmd:gmd380m:g3804m:g3804nm:gla00207:ca000000X/full/pct:25/0/default.jpg#h=660&w=904,map,Atlas of the city of New York lying south of 166th st. showing surface railroads
5,https://www.loc.gov/item/2007628201/,//tile.loc.gov/image-services/iiif/service:gmd:gmd380m:g3804m:g3804nm:gct00085:ca000001/full/pct:3.125/0/default.jpg#h=351&w=277,map,"Plan of New York City from the Battery to Spuyten Duyvil Creek : showing every lot and building thereon : old farm lines, street numbers at the corners of blocks, railroads, steamboat landings, bulkhead and pier lines, etc., etc., etc."
6,https://www.loc.gov/item/2008626893/,//tile.loc.gov/image-services/iiif/service:gmd:gmd380m:g3804m:g3804rm:gla00154:ca000000X/full/pct:25/0/default.jpg#h=658&w=904,map,"Plat book, city of Rochester, New York : carefully compiled from official records and surveys."
7,https://www.loc.gov/item/87675190/,//tile.loc.gov/image-services/iiif/service:gmd:gmd385m:g3851m:g3851bm:gct00131a:ca000001/full/pct:12.5/0/default.jpg#h=828&w=542,map,"Baist's real estate atlas of surveys of Washington, District of Columbia : complete in three volumes"
8,https://www.loc.gov/item/87675193/,//tile.loc.gov/image-services/iiif/service:gmd:gmd385m:g3851m:g3851bm:gct00132c:ca000001/full/pct:12.5/0/default.jpg#h=681&w=483,map,"Baist's real estate atlas of surveys of Washington, District of Columbia : complete in four volumes"
9,https://www.loc.gov/item/87675120/,//tile.loc.gov/image-services/iiif/service:gmd:gmd385m:g3851m:g3851bm:gct00133a:ca000001/full/pct:12.5/0/default.jpg#h=693&w=495,map,"Baist's real estate atlas of surveys of Washington, District of Columbia : complete in four volumes"
10,https://www.loc.gov/item/map66000662/,//tile.loc.gov/image-services/iiif/service:gmd:gmd385m:g3851m:g3851bm:gct00134a:ca000001/full/pct:12.5/0/default.jpg#h=682&w=475,map,"Baist's real estate atlas of surveys of Washington, District of Columbia : complete in four volumes"
11,https://www.loc.gov/item/map40000002/,//tile.loc.gov/image-services/iiif/service:gmd:gmd385m:g3851m:g3851bm:gct00135a:ca000001/full/pct:12.5/0/default.jpg#h=864&w=582,map,"Baist's real estate atlas of surveys of Washington, District of Columbia : complete in four volumes"
12,https://www.loc.gov/item/87675237/,//tile.loc.gov/image-services/iiif/service:gmd:gmd385m:g3851m:g3851bm:gct00138:ca000001/full/pct:6.25/0/default.jpg#h=463&w=670,map,"Map of the city of Washington : showing the sub-divisions, grades, and the general configuration of the ground in equidistances from 5 to 5 feet altitude"
13,https://www.loc.gov/item/map53000779/,//tile.loc.gov/image-services/iiif/service:gmd:gmd385:g3850:g3850:ct000164/full/pct:12.5/0/default.jpg#h=646&w=497,map,"Atlas of fifteen miles around Washington, including the counties of Fairfax and Alexandria, Virginia"
14,https://www.loc.gov/item/87675339/,//tile.loc.gov/image-services/iiif/service:gmd:gmd385m:g3850m:g3850m:gct00186:ca000001/full/pct:12.5/0/default.jpg#h=659&w=501,map,"Atlas of fifteen miles around Washington, including the county of Montgomery, Maryland"
15,https://www.loc.gov/item/2005630891/,//tile.loc.gov/image-services/iiif/service:gmd:gmd388m:g3884m:g3884rm:gct00070:ca000001/full/pct:12.5/0/default.jpg#h=646&w=467,map,"Illustrated atlas of the city of Richmond, Va."
16,https://www.loc.gov/item/98687205/,//tile.loc.gov/image-services/iiif/service:gmd:gmd408:g4084:g4084a:pm006771/full/pct:6.25/0/default.jpg#h=298&w=520,map,"Atlas of Athens county, Ohio, to which is added a township map of the state of Ohio, also an outline and railroad map of the United States."
17,https://www.loc.gov/item/map47000525/,//tile.loc.gov/image-services/iiif/service:gmd:gmd408:g4084:g4084b:pm006801/full/pct:12.5/0/default.jpg#h=516&w=612,map,"Combination atlas map of Logan county, Ohio,"
