,<built-in function id>,imageLink,title,year
0,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1134,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1134&action=2&DMSCALE=15&DMWIDTH=3281&DMHEIGHT=2198,"1838, dos progectes d'examplament parcial de Barcelona",1908
1,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1161,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1161&action=2&DMSCALE=15&DMWIDTH=3262&DMHEIGHT=2220,"1857, primer projecte d'una ilimitada Ciutat Nova",1908
2,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/476,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=476&action=2&DMSCALE=13&DMWIDTH=2453&DMHEIGHT=3696,[Batalla de Lepant],1620
3,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/118,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=118&action=2&DMSCALE=18&DMWIDTH=2774&DMHEIGHT=2021,[Baye de] Alicant,1817
4,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/156,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=156&action=2&DMSCALE=17&DMWIDTH=2788&DMHEIGHT=2022,[Baye de] Cartagena,1817
5,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1024,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1024&action=2&DMSCALE=13&DMWIDTH=3761&DMHEIGHT=2505,[Canarias],1908
6,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/499,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=499&action=2&DMSCALE=13&DMWIDTH=2429&DMHEIGHT=3713,[Carta da navigare],1620
7,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1050,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1050&action=2&DMSCALE=14&DMWIDTH=2747&DMHEIGHT=3570,"[Combats de taureaux]: Nº 1, Nº 2",1808
8,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1067,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1067&action=2&DMSCALE=14&DMWIDTH=2770&DMHEIGHT=3571,"[Combats de taureaux]: Nº 11, Nº 12",1808
9,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1070,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1070&action=2&DMSCALE=14&DMWIDTH=2768&DMHEIGHT=3569,"[Combats de taureaux]: Nº 3, Nº 4",1808
10,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1045,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1045&action=2&DMSCALE=14&DMWIDTH=2764&DMHEIGHT=3569,"[Combats de taureaux]: Nº 5, Nº 6",1808
11,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1043,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1043&action=2&DMSCALE=14&DMWIDTH=2769&DMHEIGHT=3570,"[Combats de taureaux]: Nº 7, Nº 8",1808
12,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1058,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1058&action=2&DMSCALE=13&DMWIDTH=2767&DMHEIGHT=3572,"[Combats de taureaux]: Nº 9, Nº 10",1808
13,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/997,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=997&action=2&DMSCALE=10&DMWIDTH=4604&DMHEIGHT=3661,[Mapa general de las provincias de España],1908
14,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/475,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=475&action=2&DMSCALE=13&DMWIDTH=2424&DMHEIGHT=3711,[Mappamondo],1620
15,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1177,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1177&action=2&DMSCALE=11&DMWIDTH=3264&DMHEIGHT=4417,[Peu] (...) y Brasés. (Es lo primer o un dels primers mapes de Catalunya sortits de la estampa),1602
16,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1346,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1346&action=2&DMSCALE=15&DMWIDTH=3314&DMHEIGHT=2112,"[Peu] 1739 Plan de la bahía de Salòu, ab indicació de les fortificacions, fet per l'enginyer Miquel Marin",1739
17,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1289,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1289&action=2&DMSCALE=15&DMWIDTH=3292&DMHEIGHT=2016,[Peu] 1743 Batería nova construida ab faxines junt a la Duana de Salóu. Plan del enginyer Miquel Marin,1743
18,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1327,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1327&action=2&DMSCALE=15&DMWIDTH=3295&DMHEIGHT=2137,"[Peu] 1743 Plan de la Torre Nova de Salòu y fortificació vehina, per l'enginyer Miquel Marin",1743
19,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1176,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1176&action=2&DMSCALE=15&DMWIDTH=3269&DMHEIGHT=2161,"[Peu] Any 1497. La Península Ibèrica segons la carta nàutica del Comte Freducci publicada per Nordenskiöld (Periplus, 1897)",1497
20,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1196,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1196&action=2&DMSCALE=15&DMWIDTH=3260&DMHEIGHT=2180,"[Peu] Any 1552. Les costes occidentals del Mediterrani, segons los mapes de Jordi Calapoda (Nordenskiöld, Periplus, 1897)",1497
21,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1145,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1145&action=2&DMSCALE=15&DMWIDTH=3271&DMHEIGHT=2240,"[Peu] Barcelona en 1697, segons la planta que n'alçá Ferdinando Alfonso, quan fou assetjada per mar y terra y pressa per los franceses",1697
22,http://cartotecadigital.icc.cat/cdm/ref/collection/atles/id/1130,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=atles&CISOPTR=1130&action=2&DMSCALE=11&DMWIDTH=4345&DMHEIGHT=3260,"[Peu] Barcelona y son hort y vinyet, en lo setge de 1706, segons lo plan trassat per un Enginyer foraster y mis au jour a Amsterdam per Nicolàu Wisscher",1908
