,<built-in function id>,areageo,identi,imageLink,title,year
0,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/19,Barcelona (Barcelonès),RFSACE.758,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=19&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Av. Victoria,1962-04-29
1,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/20,Montcada i Reixac (Vallès Occidental),RFSACE.1273,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=20&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,S.A. Bosuga,1962-08-19
2,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/21,Barcelona (Barcelonès),RFSACE.2051,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=21&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1506,Empresa Nacional Calvo Sotelo,1962-11-15
3,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/22,Montcada i Reixac (Vallès Occidental),RFSACE.7728,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=22&action=2&DMSCALE=39&DMWIDTH=1506&DMHEIGHT=1511,Mas Rampinyo,1966-01-31
4,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/23,Martorell (Baix Llobregat),RFSACE.5757,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=23&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Panoràmica Glucosa y Derivados,1964-11-11
5,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/24,Cambrils (Baix Camp),RFSACE.4388,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=24&action=2&DMSCALE=39&DMWIDTH=1495&DMHEIGHT=1506,Urbanitzacions (Rocamar) - fotoplà,1964-03-01
6,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/25,Sitges (Garraf),RFSACE.6089,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=25&action=2&DMSCALE=39&DMWIDTH=1486&DMHEIGHT=1506,Fotoplà,1965-02-11
7,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/26,Martorell (Baix Llobregat),RFSACE.6204,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=26&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Panoràmicas Glucosa y Derivados,1965-03-26
8,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/27,Tamariu (Baix Empordà),RFSACE.7418,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=27&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Tamariu: fotoplànol,1965-11-01
9,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/28,els Prats de Rei (Anoia),RFSACE.5490,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=28&action=2&DMSCALE=39&DMWIDTH=1332&DMHEIGHT=1513,Fotoplà,1964-09-19
10,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/29,Barcelona (Barcelonès),RFSACE.5377,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=29&action=2&DMSCALE=39&DMWIDTH=1498&DMHEIGHT=1513,Polígon Besòs (PMV),1964-09-05
11,http://cartotecadigital.icc.cat/cdm/ref/collection/fsace/id/30,Barcelona (Barcelonès),RFSACE.3679,http://cartotecadigital.icc.cat/utils/ajaxhelper/?CISOROOT=fsace&CISOPTR=30&action=2&DMSCALE=39&DMWIDTH=1483&DMHEIGHT=1506,Edifici Ismael Castelló,1960-02-29
